event_candidate_id,event_id,story_id,story_name,global_sent_id,sent_id,sentence,predicate_raw,predicate,predicate_normalized,normalized_predicate,predicate_index,predicate_pos,predicate_semantic_class,event_content_class_l1,event_content_class_l2,event_semantic_value,event_acceptance_tier,event_acceptance_reason,semantic_mapping_source,semantic_mapping_confidence,behavior_evidence_count,compound_group_id,compound_type,merged_token_indices,serial_verb_group_id,serial_relation_candidate,subject_text,object_text,time_text,location_text,instrument_text,goal_text,modal_marker,is_modal_only,negation_marker,negated,is_negation_only,causative_marker,causer_text,causee_text,embedded_predicate,is_copula_light,is_directional_fragment,is_attribute_non_event,is_causative_marker_only,event_assertion,state_change_applicable,participant_state_polarity,event_state_polarity,state_target_slot,state_trigger,state_scope_text,state_confidence,predicate_validity_score,argument_completeness_score,boundary_reliability_score,semantic_specificity_score,state_evidence_score,event_confidence,event_check_level,accept_decision,rejection_reason,penalty_reasons,srl_args_json,dep_evidence_json,quality_flags,v1_baseline_reference
EC0000020,EV2_0000001,F0001,父亲育儿,5,5,宋嘉树追随孙中山先生革命，首先在自己的家庭开辟了一块没有封建主义樊篱的乐园，使三个女儿有幸在民主、平等、先进的生活环境中健康成长。,成长,成长,成长,成长,37,v,正向变化/改善,STATE_CHANGE,POSITIVE_CHANGE,schema_valuable,A_SEMANTIC_CHANGE,STATE_CHANGE:boundary_reliable,semantic_class_rule,0.65,3,,,37,,0,三个女儿,,,在民主、平等、先进的生活环境中,,,,0,,0,0,,,,,0,0,0,0,affirmed,yes,positive,positive,SUBJ,成长,中健康成长,0.8,0.9,0.7,0.9,0.9,0.8,0.845,high,accepted,,,"[[""A0"",""三个女儿"",22,24],[""ARGM-LOC"",""在民主、平等、先进的生活环境中"",26,35],[""ARGM-ADV"",""健康"",36,36]]","{""children"":[{""index"":25,""word"":""有幸"",""label"":""ADV""},{""index"":26,""word"":""在"",""label"":""ADV""},{""index"":36,""word"":""健康"",""label"":""ADV""}]}",,03_event_candidates_formal.csv
EC0000025,EV2_0000002,F0001,父亲育儿,6,6,宋霭龄和宋美龄天子聪颖，大胆泼辣，在她们只有5岁时，宋嘉树就送她们到寄宿学校中的女塾读书。,送,送,送,送,19,v,资源转移/施助动作,SOCIAL_INTERACTION,ASSISTANCE,schema_valuable,B_SCHEMA_VALUABLE_ACTION,has_core_participant；has_meaningful_object；predicate_not_light；high_event_confidence,semantic_class_rule,0.65,4,,,19,,0,宋嘉树,她们,在她们只有5岁时,,,到寄宿学校中的女塾读书,,0,,0,0,,,,,0,0,0,0,affirmed,no,not_applicable,not_applicable,not_applicable,,,0.0,0.9,0.9,0.9,0.9,0.0,0.765,high,accepted,,,"[[""ARGM-TMP"",""在她们只有5岁时"",9,15],[""A0"",""宋嘉树"",17,17],[""ARGM-DIS"",""就"",18,18],[""A1"",""她们"",20,20],[""A2"",""到寄宿学校中的女塾读书"",21,27]]","{""children"":[{""index"":9,""word"":""在"",""label"":""ADV""},{""index"":17,""word"":""宋嘉树"",""label"":""SBV""},{""index"":18,""word"":""就"",""label"":""ADV""},{""index"":20,""word"":""她们"",""label"":""IOB""},{""index"":21,""word"":""到"",""label"":""VOB""},{""index"":26,""word"":""女塾"",""label"":""VOB""},{""index"":27,""word"":""读书"",""label"":""VOB""}]}",,03_event_candidates_formal.csv
EC0000031,EV2_0000003,F0001,父亲育儿,7,7,宋庆龄与姐姐和妹妹一样聪明，却不像想姐妹那样大胆泼辣，锋芒毕露。,想,想,想,想,11,v,认知/决策,COGNITION_INTENTION,COGNITION_OR_DECISION,schema_valuable,B_SCHEMA_VALUABLE_ACTION,has_core_participant；has_meaningful_object；predicate_not_light,semantic_class_rule,0.65,3,,,11,,0,,姐妹,,,,,,0,不,1,0,,,,,0,0,0,0,negated,no,not_applicable,not_applicable,not_applicable,,,0.0,0.9,0.7,0.9,0.9,0.0,0.725,medium,accepted,,,"[[""A1"",""姐妹"",12,12]]","{""children"":[{""index"":12,""word"":""姐妹"",""label"":""DBL""},{""index"":13,""word"":""那样"",""label"":""RAD""},{""index"":15,""word"":""泼辣"",""label"":""VOB""}]}",,03_event_candidates_formal.csv
EC0000033,EV2_0000004,F0001,父亲育儿,8,8,7岁时，父亲也送她到中西女塾读书。,送,送,送,送,6,v,资源转移/施助动作,SOCIAL_INTERACTION,ASSISTANCE,schema_valuable,B_SCHEMA_VALUABLE_ACTION,has_core_participant；has_meaningful_object；predicate_not_light；high_event_confidence,semantic_class_rule,0.65,4,,,6,,0,父亲,她,7岁时,,,到中西女塾读书,,0,,0,0,,,,,0,0,0,0,affirmed,no,not_applicable,not_applicable,not_applicable,,,0.0,0.9,0.9,0.9,0.9,0.0,0.765,high,accepted,,,"[[""ARGM-TMP"",""7岁时"",0,2],[""A0"",""父亲"",4,4],[""ARGM-ADV"",""也"",5,5],[""A1"",""她"",7,7],[""A2"",""到中西女塾读书"",8,10]]","{""children"":[{""index"":2,""word"":""时"",""label"":""ADV""},{""index"":4,""word"":""父亲"",""label"":""SBV""},{""index"":5,""word"":""也"",""label"":""ADV""},{""index"":7,""word"":""她"",""label"":""DBL""},{""index"":8,""word"":""到"",""label"":""VOB""},{""index"":10,""word"":""读书"",""label"":""COO""},{""index"":11,""word"":""。"",""label"":""WP""}]}",,03_event_candidates_formal.csv
EC0000052,EV2_0000005,F0001,父亲育儿,13,13,宋嘉树使这三姐妹在早期教育上占了先，在接受西方教育上占了先，在女子接受高等教育上占了先。,占,占,占,占,9,v,获取/占有,TRANSFER_POSSESSION,GAIN_OR_HOLD,schema_valuable,A_SEMANTIC_CHANGE,TRANSFER_POSSESSION:boundary_reliable,semantic_class_rule,0.65,3,,,9,,0,,先,,,,,,0,,0,0,,,,,0,0,0,0,affirmed,no,not_applicable,not_applicable,not_applicable,,,0.0,0.9,0.7,0.9,0.9,0.0,0.725,medium,accepted,,,[],"{""children"":[{""index"":5,""word"":""在"",""label"":""ADV""},{""index"":10,""word"":""了"",""label"":""RAD""},{""index"":11,""word"":""先"",""label"":""VOB""}]}",,03_event_candidates_formal.csv
EC0000055,EV2_0000006,F0001,父亲育儿,13,13,宋嘉树使这三姐妹在早期教育上占了先，在接受西方教育上占了先，在女子接受高等教育上占了先。,占,占,占,占,18,v,获取/占有,TRANSFER_POSSESSION,GAIN_OR_HOLD,schema_valuable,A_SEMANTIC_CHANGE,TRANSFER_POSSESSION:boundary_reliable,semantic_class_rule,0.65,3,,,18,,0,,在接受西方教育上,,,,在接受西方教育上,,0,,0,0,,,,,0,0,0,0,affirmed,no,not_applicable,not_applicable,not_applicable,,,0.0,0.9,0.7,0.9,0.9,0.0,0.725,medium,accepted,,,"[[""A2"",""在接受西方教育上"",13,17],[""A1"",""先"",20,20]]","{""children"":[{""index"":13,""word"":""在"",""label"":""ADV""},{""index"":19,""word"":""了"",""label"":""RAD""},{""index"":20,""word"":""先"",""label"":""VOB""}]}",,03_event_candidates_formal.csv
EC0000057,EV2_0000007,F0001,父亲育儿,13,13,宋嘉树使这三姐妹在早期教育上占了先，在接受西方教育上占了先，在女子接受高等教育上占了先。,占,占,占,占,27,v,获取/占有,TRANSFER_POSSESSION,GAIN_OR_HOLD,schema_valuable,A_SEMANTIC_CHANGE,TRANSFER_POSSESSION:boundary_reliable,semantic_class_rule,0.65,3,,,27,,0,,在女子接受高等教育上,,,,在女子接受高等教育上,,0,,0,0,,,,,0,0,0,0,affirmed,no,not_applicable,not_applicable,not_applicable,,,0.0,0.9,0.7,0.9,0.9,0.0,0.725,medium,accepted,,,"[[""A2"",""在女子接受高等教育上"",22,26],[""A1"",""先"",29,29]]","{""children"":[{""index"":22,""word"":""在"",""label"":""ADV""},{""index"":28,""word"":""了"",""label"":""RAD""},{""index"":29,""word"":""先"",""label"":""VOB""}]}",,03_event_candidates_formal.csv
EC0000066,EV2_0000008,F0001,父亲育儿,15,15,在傍晚时分，常常是由宋夫人熟练而凝神地弹奏钢琴，几个兄弟姐妹围在一起，听宋嘉树和大女儿的男女生二重唱。,听,听,听,听,24,v,感知/寻找/识别,PERCEPTION_DISCOVERY,PERCEPTION_OR_SEARCH,schema_valuable,B_SCHEMA_VALUABLE_ACTION,has_core_participant；has_meaningful_object；predicate_not_light；high_event_confidence,semantic_class_rule,0.65,4,,,24,,0,几个兄弟姐妹,宋嘉树和大女儿的男女生二重唱,,,,,,0,,0,0,,,,,0,0,0,0,affirmed,no,not_applicable,not_applicable,not_applicable,,,0.0,0.9,0.9,0.9,0.9,0.0,0.765,high,accepted,,,"[[""A0"",""几个兄弟姐妹"",16,19],[""A1"",""宋嘉树和大女儿的男女生二重唱"",25,34]]","{""children"":[{""index"":34,""word"":""唱"",""label"":""VOB""}]}",,03_event_candidates_formal.csv
EC0000067,EV2_0000009,F0001,父亲育儿,15,15,在傍晚时分，常常是由宋夫人熟练而凝神地弹奏钢琴，几个兄弟姐妹围在一起，听宋嘉树和大女儿的男女生二重唱。,唱,唱,唱,唱,34,v,交流表达,COMMUNICATION,SPEECH,schema_valuable,B_SCHEMA_VALUABLE_ACTION,has_core_participant；predicate_not_light,semantic_class_rule,0.65,2,,,34,,0,宋嘉树和大女儿的男女生,,,,,,,0,,0,0,,,,,0,0,0,0,affirmed,no,not_applicable,not_applicable,not_applicable,,,0.0,0.9,0.7,0.9,0.9,0.0,0.725,medium,accepted,,,"[[""A0"",""宋嘉树和大女儿的男女生"",25,31],[""ARGM-ADV"",""二"",32,32],[""ARGM-ADV"",""重"",33,33]]","{""children"":[{""index"":25,""word"":""宋嘉树"",""label"":""SBV""},{""index"":33,""word"":""重"",""label"":""ADV""}]}",,03_event_candidates_formal.csv
EC0000069,EV2_0000010,F0001,父亲育儿,16,16,静听着父亲那纯美洪亮的嗓音随着琴声哼出的美国南方民歌，宋霭龄、宋庆龄和弟妹们从心底升腾起对父母的崇拜、敬仰和热爱。,听,听,听,听,1,v,感知/寻找/识别,PERCEPTION_DISCOVERY,PERCEPTION_OR_SEARCH,schema_valuable,B_SCHEMA_VALUABLE_ACTION,has_core_participant；has_meaningful_object；predicate_not_light,semantic_class_rule,0.65,3,,,1,,0,,父亲那纯美洪亮的嗓音随着琴声哼出的美国南方民歌,,,,,,0,,0,0,,,,,0,0,0,0,affirmed,no,not_applicable,not_applicable,not_applicable,,,0.0,0.9,0.7,0.9,0.9,0.0,0.725,medium,accepted,,,"[[""A1"",""父亲那纯美洪亮的嗓音随着琴声哼出的美国南方民歌"",3,16]]","{""children"":[{""index"":0,""word"":""静"",""label"":""ADV""},{""index"":2,""word"":""着"",""label"":""RAD""},{""index"":8,""word"":""嗓音"",""label"":""VOB""},{""index"":9,""word"":""随着"",""label"":""VOB""},{""index"":17,""word"":""，"",""label"":""WP""},{""index"":26,""word"":""升腾"",""label"":""COO""},{""index"":36,""word"":""。"",""label"":""WP""}]}",,03_event_candidates_formal.csv
